City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Jamestown,42.097,-79.2353,51.39,91,90,5.01,US,overcast clouds,2021-11-01 04:26:53
1,Cherskiy,68.75,161.3,-2.74,99,100,5.53,RU,overcast clouds,2021-11-01 04:19:52
2,Saskylakh,71.9167,114.0833,3.78,97,98,5.61,RU,overcast clouds,2021-11-01 04:29:38
3,Rikitea,-23.1203,-134.9692,72.99,76,100,16.78,PF,overcast clouds,2021-11-01 04:27:35
4,Provideniya,64.3833,-173.3,17.71,62,40,11.18,RU,scattered clouds,2021-11-01 04:18:49
5,Chokurdakh,70.6333,147.9167,-6.75,98,94,7.07,RU,overcast clouds,2021-11-01 04:20:50
6,Severo-Kurilsk,50.6789,156.125,36.63,55,72,24.32,RU,light rain,2021-11-01 04:20:39
7,Butaritari,3.0707,172.7902,82.62,73,6,12.24,KI,light rain,2021-11-01 04:15:20
8,Fortuna,40.5982,-124.1573,61.48,70,90,4.0,US,overcast clouds,2021-11-01 04:20:10
9,Tabuk,17.4189,121.4443,82.85,67,57,4.72,PH,broken clouds,2021-11-01 04:29:40
10,Kommunar,59.6206,30.39,47.73,94,93,5.39,RU,overcast clouds,2021-11-01 04:29:41
11,Longyearbyen,78.2186,15.6401,33.64,75,75,19.57,SJ,broken clouds,2021-11-01 04:29:08
12,Huarmey,-10.0681,-78.1522,64.06,84,16,7.16,PE,few clouds,2021-11-01 04:29:42
13,Yellowknife,62.456,-114.3525,33.42,99,90,13.8,CA,overcast clouds,2021-11-01 04:29:43
14,Boa Vista,2.8197,-60.6733,82.38,78,40,6.91,BR,scattered clouds,2021-11-01 04:29:44
15,Arraial Do Cabo,-22.9661,-42.0278,69.55,95,100,21.59,BR,moderate rain,2021-11-01 04:25:03
16,Albany,42.6001,-73.9662,53.8,80,54,10.92,US,broken clouds,2021-11-01 04:26:09
17,Sitka,57.0531,-135.33,48.09,43,40,8.05,US,scattered clouds,2021-11-01 04:29:45
18,Boysun,38.2061,67.1986,45.72,52,2,0.87,UZ,clear sky,2021-11-01 04:29:46
19,Aden,12.7794,45.0367,82.6,69,10,19.33,YE,clear sky,2021-11-01 04:29:46
20,Beirut,33.8889,35.4944,79.54,39,75,25.32,LB,broken clouds,2021-11-01 04:29:47
21,Urucara,-2.5364,-57.76,75.16,88,77,2.19,BR,broken clouds,2021-11-01 04:29:48
22,Sindor,62.8629,51.8905,22.98,92,98,5.95,RU,overcast clouds,2021-11-01 04:29:48
23,Jesus Carranza,17.4333,-95.0333,68.18,90,48,3.27,MX,scattered clouds,2021-11-01 04:29:49
24,Ushuaia,-54.8,-68.3,46.06,71,0,3.44,AR,clear sky,2021-11-01 04:29:50
25,Port Hedland,-20.3167,118.5667,80.65,61,90,11.5,AU,overcast clouds,2021-11-01 04:29:38
26,Puerto Ayora,-0.7393,-90.3518,68.9,92,37,6.11,EC,scattered clouds,2021-11-01 04:29:51
27,Los Llanos De Aridane,28.6585,-17.9182,70.12,25,0,5.01,ES,clear sky,2021-11-01 04:29:52
28,Atuona,-9.8,-139.0333,78.84,73,0,18.5,PF,clear sky,2021-11-01 04:27:26
29,Mizdah,31.4451,12.9801,64.51,37,5,10.22,LY,clear sky,2021-11-01 04:29:42
30,Chuy,-33.6971,-53.4616,63.07,98,94,6.2,UY,overcast clouds,2021-11-01 04:29:53
31,Hermanus,-34.4187,19.2345,61.81,77,100,13.22,ZA,overcast clouds,2021-11-01 04:29:54
32,Tasiilaq,65.6145,-37.6368,24.96,58,3,6.44,GL,clear sky,2021-11-01 04:29:18
33,Nieuw Amsterdam,5.8833,-55.0833,78.03,90,57,7.34,SR,broken clouds,2021-11-01 04:29:55
34,Qaanaaq,77.484,-69.3632,18.12,85,100,8.59,GL,overcast clouds,2021-11-01 04:26:33
35,Luanda,-8.8368,13.2343,75.2,78,75,5.75,AO,broken clouds,2021-11-01 04:29:56
36,Tuktoyaktuk,69.4541,-133.0374,30.2,80,75,14.97,CA,broken clouds,2021-11-01 04:29:57
37,Hilo,19.7297,-155.09,76.73,83,90,3.44,US,overcast clouds,2021-11-01 04:27:36
38,Champerico,14.3,-91.9167,81.36,86,100,6.76,GT,overcast clouds,2021-11-01 04:29:58
39,Souillac,-20.5167,57.5167,78.37,78,40,6.91,MU,scattered clouds,2021-11-01 04:25:51
40,Chitral,35.8462,71.7858,53.82,31,8,5.1,PK,clear sky,2021-11-01 04:29:58
41,Cape Town,-33.9258,18.4232,60.1,87,75,1.01,ZA,light rain,2021-11-01 04:29:01
42,Baghdad,33.3406,44.4009,67.91,64,0,6.91,IQ,clear sky,2021-11-01 04:26:30
43,Loandjili,-4.7561,11.8578,77.11,94,75,6.91,CG,light rain,2021-11-01 04:30:00
44,Axim,4.8699,-2.2405,77.86,86,99,10.27,GH,overcast clouds,2021-11-01 04:31:00
45,Nanortalik,60.1432,-45.2371,33.82,62,49,8.52,GL,scattered clouds,2021-11-01 04:31:01
46,Bredasdorp,-34.5322,20.0403,61.29,70,100,8.77,ZA,overcast clouds,2021-11-01 04:31:02
47,Avarua,-21.2078,-159.775,75.25,69,75,12.66,CK,broken clouds,2021-11-01 04:28:48
48,Barrow,71.2906,-156.7887,19.42,86,40,13.8,US,scattered clouds,2021-11-01 04:31:03
49,Namatanai,-3.6667,152.4333,85.14,67,63,11.74,PG,broken clouds,2021-11-01 04:31:04
50,Carnarvon,-24.8667,113.6333,73.47,53,29,16.11,AU,scattered clouds,2021-11-01 04:31:04
51,Busselton,-33.65,115.3333,60.04,58,78,20.36,AU,broken clouds,2021-11-01 04:29:28
52,Makakilo City,21.3469,-158.0858,79.12,70,20,8.05,US,few clouds,2021-11-01 04:30:43
53,Brae,60.3964,-1.353,49.91,87,59,19.48,GB,broken clouds,2021-11-01 04:31:06
54,Punta Arenas,-53.15,-70.9167,46.51,57,0,8.05,CL,clear sky,2021-11-01 04:30:45
55,Mar Del Plata,-38.0023,-57.5575,55.09,90,90,1.99,AR,overcast clouds,2021-11-01 04:31:07
56,Honiara,-9.4333,159.95,81.46,82,98,4.25,SB,overcast clouds,2021-11-01 04:31:08
57,Ribeira Grande,38.5167,-28.7,70.74,87,100,7.34,PT,overcast clouds,2021-11-01 04:31:08
58,Port Alfred,-33.5906,26.891,68.92,75,94,11.21,ZA,overcast clouds,2021-11-01 04:31:09
59,Mataura,-46.1927,168.8643,53.47,78,99,8.52,NZ,overcast clouds,2021-11-01 04:31:10
60,Polovinnoye,54.7914,65.9864,42.1,90,100,13.18,RU,overcast clouds,2021-11-01 04:31:10
61,Airai,-8.9266,125.4092,77.34,47,78,2.55,TL,broken clouds,2021-11-01 04:31:11
62,Taman,45.2117,36.7161,44.92,71,62,7.61,RU,broken clouds,2021-11-01 04:31:11
63,Kranjska Gora,46.4839,13.7894,46.56,95,41,5.68,SI,scattered clouds,2021-11-01 04:31:12
64,Valparaiso,-33.0393,-71.6273,57.47,74,40,0.0,CL,scattered clouds,2021-11-01 04:31:13
65,Meulaboh,4.1363,96.1285,84.7,67,99,5.12,ID,overcast clouds,2021-11-01 04:31:13
66,Port Lincoln,-34.7333,135.8667,67.77,52,29,7.65,AU,scattered clouds,2021-11-01 04:30:06
67,Grindavik,63.8424,-22.4338,35.55,75,75,23.02,IS,broken clouds,2021-11-01 04:31:14
68,Vaini,-21.2,-175.2,80.76,83,20,9.22,TO,few clouds,2021-11-01 04:27:49
69,Bathsheba,13.2167,-59.5167,74.01,88,75,17.27,BB,broken clouds,2021-11-01 04:31:15
70,Saint-Philippe,-21.3585,55.7679,78.48,81,61,8.97,RE,broken clouds,2021-11-01 04:27:59
71,Upernavik,72.7868,-56.1549,27.28,95,100,7.0,GL,light snow,2021-11-01 04:27:47
72,Yumen,40.2833,97.2,50.56,22,100,17.18,CN,overcast clouds,2021-11-01 04:31:16
73,Victoria,22.2855,114.1577,82.45,69,35,1.99,HK,scattered clouds,2021-11-01 04:26:55
74,Adrar,20.5022,-10.0711,80.89,21,75,7.99,MR,broken clouds,2021-11-01 04:29:43
75,Kapaa,22.0752,-159.319,78.78,83,90,4.61,US,overcast clouds,2021-11-01 04:28:21
76,Abu Kamal,34.4506,40.9171,70.47,55,71,11.1,SY,broken clouds,2021-11-01 04:31:18
77,Samarai,-10.6167,150.6667,83.64,78,100,15.03,PG,overcast clouds,2021-11-01 04:31:19
78,Almaznyy,48.0448,40.045,44.74,96,0,7.43,RU,clear sky,2021-11-01 04:31:19
79,Magadan,59.5667,150.8,13.77,56,1,2.24,RU,clear sky,2021-11-01 04:31:20
80,Palmer,42.1584,-72.3287,55.0,76,20,6.91,US,few clouds,2021-11-01 04:30:28
