City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
Butaritari,KI,light rain,82.62,3.0707,172.7902,Isles Sunset Lodge
Tabuk,PH,broken clouds,82.85,17.4189,121.4443,Golden Berries Hotel and Convention
Boa Vista,BR,scattered clouds,82.38,2.8197,-60.6733,Aipana Plaza Hotel
Aden,YE,clear sky,82.6,12.7794,45.0367,Sama Emirate Hotel
Beirut,LB,broken clouds,79.54,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
Urucara,BR,broken clouds,75.16,-2.5364,-57.76,Pousada Maria Bonita
Port Hedland,AU,overcast clouds,80.65,-20.3167,118.5667,The Esplanade Hotel
Atuona,PF,clear sky,78.84,-9.8,-139.0333,Villa Enata
Nieuw Amsterdam,SR,broken clouds,78.03,5.8833,-55.0833,Hotel Stardust
Luanda,AO,broken clouds,75.2,-8.8368,13.2343,Hotel Fórum
Hilo,US,overcast clouds,76.73,19.7297,-155.09,Hilo Hawaiian Hotel
Champerico,GT,overcast clouds,81.36,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
Souillac,MU,scattered clouds,78.37,-20.5167,57.5167,Shanti Maurice Resort & Spa
Loandjili,CG,light rain,77.11,-4.7561,11.8578,Résidence ARCHANGE
Axim,GH,overcast clouds,77.86,4.8699,-2.2405,Axim Beach Resort And Spa
Avarua,CK,broken clouds,75.25,-21.2078,-159.775,Paradise Inn
Namatanai,PG,broken clouds,85.14,-3.6667,152.4333,Seagulls Inn Namatani
Makakilo City,US,few clouds,79.12,21.3469,-158.0858,Marriott's Ko Olina Beach Club
Honiara,SB,overcast clouds,81.46,-9.4333,159.95,Heritage Park Hotel
Airai,TL,broken clouds,77.34,-8.9266,125.4092,Juvinal Martin
Meulaboh,ID,overcast clouds,84.7,4.1363,96.1285,Kost Pria
Vaini,TO,few clouds,80.76,-21.2,-175.2,Keleti Beach Resort
Saint-Philippe,RE,broken clouds,78.48,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
Victoria,HK,scattered clouds,82.45,22.2855,114.1577,Mini Hotel Central
Adrar,MR,broken clouds,80.89,20.5022,-10.0711,
Kapaa,US,overcast clouds,78.78,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
Samarai,PG,overcast clouds,83.64,-10.6167,150.6667,Nuli Sapi
Robertsport,LR,overcast clouds,76.57,6.7533,-11.3686,Kwepunha Retreat
Bengkulu,ID,overcast clouds,83.7,-3.8004,102.2655,Grage Hotel Bengkulu
San Andres,CO,overcast clouds,78.82,12.5847,-81.7006,Hotel Arena Blanca
Amahai,ID,overcast clouds,85.71,-3.3333,128.9167,HOTEL ISABELA
Lorengau,PG,overcast clouds,83.5,-2.0226,147.2712,Lorengau Harbourside Hotel
Quelimane,MZ,broken clouds,78.75,-17.8786,36.8883,Hotel Flamingo
Salalah,OM,clear sky,77.09,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
